,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lpc_0,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,lpc_12,pitch_mean,spectral_contrast_0,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6
10,-504.127685546875,63.352596282958984,-60.9324836730957,-13.47082233428955,-32.72471618652344,1.6800706386566162,-11.727774620056152,-6.960329532623291,-12.397993087768555,-10.68665599822998,-4.387774467468262,-5.539515972137451,2.128046751022339,1.0,-1.6993852853775024,1.0839601755142212,-0.45138442516326904,0.3419950306415558,-0.3828837275505066,0.3796849250793457,-0.2189769148826599,0.21868012845516205,-0.326802521944046,0.38038378953933716,-0.3174388110637665,0.2663765251636505,-0.09994742274284363,1867.463623046875,9.606094622459981,8.141570042392768,17.641120165521677,19.501594879817823,19.332514426528103,19.25428880783528,45.54864735012649
11,-479.4714050292969,56.05265808105469,-59.08977508544922,-19.700204849243164,-40.25263595581055,-1.3343017101287842,-10.570070266723633,-5.668628692626953,-12.636384963989258,-12.74964714050293,-1.4840513467788696,-2.859143018722534,6.359085559844971,1.0,-1.8554984331130981,1.4921646118164062,-0.7867810130119324,0.33392009139060974,-0.21407750248908997,0.29153046011924744,-0.3227576017379761,0.3675731420516968,-0.355994313955307,0.39352020621299744,-0.3842487335205078,0.29473382234573364,-0.09841927886009216,1867.89306640625,9.999208042159255,8.011191968270445,18.213472108130926,19.550116523470084,19.21306038629931,19.162318689292597,44.6300367949111
12,-484.1869201660156,54.744876861572266,-67.58064270019531,-13.859888076782227,-42.87376022338867,4.3544440269470215,-8.20592975616455,-14.526359558105469,-14.51109504699707,-6.903297424316406,-0.3558453619480133,-7.7678728103637695,3.6656904220581055,1.0,-2.0054290294647217,1.8716764450073242,-1.1073143482208252,0.4493045210838318,-0.11418381333351135,0.21641187369823456,-0.5279150009155273,0.7327122092247009,-0.706322193145752,0.578287661075592,-0.4709102511405945,0.42042452096939087,-0.14494720101356506,1793.0006103515625,9.459215352048277,8.169011050025029,18.903548146084887,21.0181723013799,21.639994659602,20.456150423597702,46.76901516688763
13,-490.7291564941406,73.53524780273438,-64.93754577636719,-17.768033981323242,-34.77859115600586,-2.3831558227539062,-2.38692045211792,-4.743957042694092,-12.455107688903809,-5.817928791046143,-3.536231517791748,-8.598008155822754,-13.390697479248047,1.0,-2.0213329792022705,1.6773273944854736,-0.849410891532898,0.5294153094291687,-0.44109877943992615,0.36968234181404114,-0.41756683588027954,0.5562688708305359,-0.5743525624275208,0.5050613880157471,-0.43105995655059814,0.36220690608024597,-0.12603488564491272,1784.1314697265625,9.725050246473039,8.61519483785862,17.481932851325446,20.135273472305354,21.003870064622056,19.31965864995677,45.296960244284755
14,-502.2618408203125,55.81724166870117,-51.032535552978516,-14.777276992797852,-36.028560638427734,1.845128059387207,-6.6515350341796875,-8.3732328414917,-13.535140991210938,-7.811744689941406,-1.933372139930725,-4.831579208374023,1.1142820119857788,1.0,-1.5836025476455688,1.1073344945907593,-0.6457815170288086,0.4015326201915741,-0.29683247208595276,0.2010985016822815,-0.15020152926445007,0.27087903022766113,-0.3392358720302582,0.4104279577732086,-0.35172638297080994,0.29778191447257996,-0.10372427850961685,1853.3731689453125,9.79748519747032,7.843026260354873,17.268061269406452,19.326324672737762,19.230617044168305,18.3074945901701,44.56038711015368
15,-553.8859252929688,72.07406616210938,-47.1630744934082,-18.976787567138672,-22.59803009033203,-7.038943290710449,-6.175506591796875,-6.200212001800537,-6.337636470794678,-4.443606376647949,-5.863499641418457,-2.680464744567871,-3.6800222396850586,1.0,-1.7357529401779175,1.2211084365844727,-0.5515279173851013,0.22523176670074463,-0.29320260882377625,0.5715891122817993,-0.6890484094619751,0.5971300005912781,-0.2796166241168976,0.14520201086997986,-0.39404040575027466,0.5205145478248596,-0.20513512194156647,1905.154541015625,10.004727384456109,9.149373848550894,15.606894507075467,18.166455121760528,17.181937059746154,17.64028174651037,44.01791746623734
16,-502.801513671875,65.42308807373047,-58.23738098144531,-15.093478202819824,-35.108158111572266,2.6505002975463867,-5.034882068634033,-7.684845447540283,-13.522046089172363,-3.69046950340271,-1.0731043815612793,-7.472290515899658,-0.2516460120677948,1.0,-1.8004175424575806,1.3516428470611572,-0.7508020401000977,0.5462985038757324,-0.44019824266433716,0.3819640874862671,-0.31021052598953247,0.2878468632698059,-0.31050804257392883,0.36725491285324097,-0.32197922468185425,0.26622340083122253,-0.09012269973754883,1851.1187744140625,9.243286579329077,8.306281216087191,16.550699109279446,18.85230150796713,18.867755027676854,18.366693541191655,45.33150343718132
17,-521.6380615234375,68.53594207763672,-57.09465789794922,-14.615053176879883,-28.37578773498535,-0.692595899105072,-10.306978225708008,-5.978704452514648,-10.043583869934082,-8.954724311828613,-5.308227062225342,-5.943937301635742,-1.7773021459579468,1.0,-1.7094190120697021,1.0728256702423096,-0.4140516221523285,0.4106403589248657,-0.5350863337516785,0.5298758149147034,-0.34876465797424316,0.2796778976917267,-0.31953418254852295,0.37325167655944824,-0.3432577848434448,0.2951061725616455,-0.1091124564409256,1924.1044921875,9.511088638455087,8.590151575473538,15.77276542204573,17.875796971942506,17.399583812665284,17.712709457223998,44.38667567475222
18,-533.4737548828125,72.88504791259766,-56.07394790649414,-21.209579467773438,-34.06339645385742,-2.2058959007263184,-3.0043833255767822,-8.911799430847168,-14.346332550048828,-1.5727102756500244,-2.378437042236328,-11.73453140258789,-6.392291069030762,1.0,-1.4821079969406128,0.6722851395606995,-0.22754457592964172,0.32896605134010315,-0.3004908263683319,0.30328407883644104,-0.2172422558069229,0.19056059420108795,-0.2946794331073761,0.28102341294288635,-0.11560051888227463,0.11980429291725159,-0.04906802624464035,1745.6302490234375,9.758292454363772,8.728854548166773,15.989348665957188,18.52809136070033,19.49867324657471,18.22637435344423,43.49989666351049
19,-488.41778564453125,73.56192016601562,-70.26558685302734,-20.733928680419922,-34.85646438598633,1.8887637853622437,-5.086825847625732,-12.130705833435059,-16.459518432617188,-5.83064079284668,-4.412553310394287,-9.87950611114502,-3.4541146755218506,1.0,-1.5722918510437012,1.0047258138656616,-0.5497997403144836,0.4436071217060089,-0.34645694494247437,0.30954933166503906,-0.3131674528121948,0.3679836094379425,-0.3927477300167084,0.4493024945259094,-0.329529345035553,0.20074595510959625,-0.03616511449217796,1858.77099609375,9.216732032062257,8.649876236164324,16.56424867958313,18.93805932895616,19.587330952193565,18.23892367537959,45.71454082473759
